param_clf__learning_rate,param_clf__max_depth,param_clf__n_estimators,mean_test_score,std_test_score,rank_test_score,mean_fit_time
0.1,6,400,0.836979589995837,0.008204563558885384,1,320.4511129061381
0.3,6,400,0.8356681479898804,0.012304556763885007,2,153.87965552012125
0.1,4,400,0.8346368666897094,0.003938732557440554,3,186.68087848027548
0.3,6,200,0.8340512656276897,0.011001127414111841,4,152.22965574264526
0.3,4,400,0.8309523161093487,0.008571619467401974,5,164.29456146558127
0.3,4,200,0.8280144332105631,0.009997088728769445,6,93.462344566981
0.1,6,200,0.8242237085158699,0.008900647206095031,7,185.501003185908
0.1,4,200,0.8159431589772502,0.009119440772850847,8,104.95931935310364
